Organization,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Grand Total
AMERICAN COLLEGE OF PREVENTATIVE MEDICINE,,,,,,,,,,"30,000.00",,"25,000.00",,,"55,000.00"
Medical Ed,,,,,,,,,,"20,000.00",,"25,000.00",,,"45,000.00"
St. Gov Leg  Aff,,,,,,,,,,"10,000.00",,,,,"10,000.00"
AMERICAN COLLEGE OF RHEUMATOLOGY,"4 ,400.00",,,"4,600.00","9,500.00","10,800.00",,,,,,,,,"29,300.00"
Conventions,"4,400.00",,,"4,600.00","9,500.00","10,800.00",,,,,,,,,"29,300.00"
AMERICAN COLLEGE OF RHUMATOLOGY,,,,,,,,,"5,600.00",,,,,,"5,600.00"
Conventions,,,,,,,,,"5,600.00",,,,,,"5,600.00"
American College of Toxicology,"5 ,431.75",,"3,275.00","2,243.25","2,200.00",,,"3,000.00","1,500.00","1,500.00","1,500.00",,"1,500.00",,"22,150.00"
Clinical Pharm,100.00,,,,,,,,,,,,,,100.00
Medical Ed,,,,,,,,,,"1,500.00",,,,,"1,500.00"
NDSE,"3,831.75",,"1,775.00","1,243.25",,,,,,,,,,,"6,850.00"
PKDM,,,,,,,,"1,500.00","1,500.00",,"1,500.00",,"1,500.00",,"6,000.00"
PPMD Pharma Tech,,,,,,,,"1,500.00",,,,,,,"1,500.00"
Pur Pharma Fund,"1,500.00",,"1,500.00","1,000.00","2,200.00",,,,,,,,,,"6,200.00"
AMERICAN DIABETES ASSOCIATION,,,"5,200.00",,,,,,"1,000.00",,,,,,"6,200.00"
Pur Pharma Fund,,,"5,200.00",,,,,,,,,,,,"5,200.00"
St. Gov Leg  Aff,,,,,,,,,"1,000.00",,,,,,"1,000.00"
AMERICAN DRUG UTILIZATION REVIEW SOCIETY,"20,000.00",,,"40,000.00","20,000.00",,"20,000.00","20,000.00","40,000.00","20,000.00",,,,,"180,000.00"
ManagedCare FF,,,,"20,000.00",,,,,,,,,,,"20,000.00"
Market Strategies,"20,000.00",,,,,,,,,,,,,,"20,000.00"
Medical Ed,,,,"20,000.00",,,,"20,000.00","40,000.00","20,000.00",,,,,"100,000.00"
Other,,,,,"20,000.00",,,,,,,,,,"20,000.00"
Sales Force,,,,,,,"20,000.00",,,,,,,,"20,000.00"
AMERICAN GERIATRICS SOCIETY,"68,750.00",,,"1,950.00",,,"6,000.00",,"44,850.00",,"40,987.50","11,750.00",,,"174,287.50"
Conventions,"21,700.00",,,"1,950.00",,,,,,,,,,,"23,650.00"
Medical Ed,"47,050.00",,,,,,,,"44,850.00",,"40,987.50",,,,"132,887.50"
St. Gov Leg  Aff,,,,,,,"6,000.00",,,,,"11,750.00",,,"17,750.00"
AMERICAN HEADACHE SOCIETY,,,150.00,,,,,,,,,,,,150.00
Analgesic,,,150.00,,,,,,,,,,,,150.00
AMERICAN HEART ASSOC,475.00,,"2,500.00",,,"2,750.00",,,"3,500.00",,"7,000.00","7,600.00","5,000.00","10,000.00","38,825.00"
EHS Corp,,,,,,750.00,,,,,,,,,750.00
Executive Admin,,,,,,,,,,,,"2,500.00",,,"2,500.00"
Human Resources,,,,,,,,,,,,100.00,,,100.00
Pur Pharma Fund,475.00,,"2,500.00",,,"2,000.00",,,"2,500.00",,"7,000.00","5,000.00","5,000.00","10,000.00","34,475.00"
St. Gov Leg  Aff,,,,,,,,,"1,000.00",,,,,,"1,000.00"
AMERICAN HOSPICE FOUNDATION DC,,,,,,,,,,,"75,000.00",,"50,000.00",,"125,000.00"
Medical Ed,,,,,,,,,,,"75,000.00",,"50,000.00",,"125,000.00"
AMERICAN LEGISLATIVE EXCHANGE COUNC,500.00,,,,200.00,"10,000.00","8,000.00",,"20,000.00","10,700.00",375.00,"20,000.00","10,000.00","17,500.00","97,275.00"
General Counsel,,,,,200.00,,,,,,,,,,200.00
Government Aff,500.00,,,,,,,,,,,,,,500.00
St. Gov Leg  Aff,,,,,,"10,000.00","8,000.00",,"20,000.00","10,700.00",375.00,"20,000.00","10,000.00","17,500.00","96,575.00"
AMERICAN LUNG ASSOC,,,,900.00,,,,,,,,,,,900.00
Stmfd Bldg Serv,,,,900.00,,,,,,,,,,,900.00
AMERICAN LUNG ASSOC OF DE,,,350.00,,,,,,,,,,,,350.00
Conventions,,,350.00,,,,,,,,,,,,350.00
AMERICAN LUNG ASSOCIATION,,,,,,,,,,,120.00,,,,120.00
Emply Benefits,,,,,,,,,,,120.00,,,,120.00
AMERICAN LUNG ASSOCIATION OF ILLINOIS IOWA,,,325.00,350.00,,,,,,,,,,,675.00
Conventions,,,325.00,350.00,,,,,,,,,,,675.00
AMERICAN LUNG ASSOCIATION OF MAINE MAINE THORACIC SOCIETY,,,500.00,,,,,,,,,,,,500.00
Conventions,,,530.00,,,,,,,,,,,,530.00
Other,,,(30.00),,,,,,,,,,,,(30.00)
AMERICAN LUNG ASSOCIATION OF MASSACHUSETTES INC,,,"1,000.00",,,,,,,,,,,,"1,000.00"
Conventions,,,"1,000.00",,,,,,,,,,,,"1,000.00"
AMERICAN LUNG ASSOCIATION OF THE NORTHERN ROCKIES,,,450.00,"2,450.00",,,,,,,,,,,"2,900.00"
Conventions,,,450.00,450.00,,,,,,,,,,,900.00
Medical Ed,,,,"2,000.00",,,,,,,,,,,"2,000.00"
AMERICAN MED DIRECTORS ASSOCIATION,"16,000.00",,"1,000.00",,,,,,,,,,,,"17,000.00"
Conventions,"9,000.00",,"1,000.00",,,,,,,,,,,,"10,000.00"
